amfi_code,alpha,beta,r_squared,p_value,scheme_name
100016,0.0536916950152335,-0.10600318481617299,0.00874832950892107,0.001503685252107797,HDFC Top 100 Fund - Regular Plan - Growth
100025,0.04290718931731745,-0.00031569830317559747,1.0768364462651532e-06,0.9719706681012827,HDFC Short Term Debt Fund - Regular - Growth
100033,0.2806888003926054,-0.050493452389123644,0.0011715557901517725,0.24633395097288763,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,0.21434392793210896,0.0017817389118541806,2.4647763136930064e-06,0.9576052937467614,ABSL Frontline Equity Fund - Regular - Growth
101207,0.10898633188567367,-0.01191496189028818,3.515102529761151e-05,0.8408925026342663,ABSL Small Cap Fund - Regular - Growth
101208,0.06087928984400977,-5.6660020782568594e-05,2.062549168815584e-06,0.9612154859775923,ABSL Liquid Fund - Regular - Growth
102886,0.022707384078567778,0.02923058596264367,0.00042811668617016727,0.48350787600948975,UTI Mid Cap Fund - Regular - Growth
102887,0.17028062149967055,-0.04505772204098147,0.0013471562946277733,0.2137926667964989,UTI Flexi Cap Fund - Regular - Growth
118632,0.21809037137958925,-0.0003144427672095984,8.139044575503313e-08,0.9922926145332124,Nippon India Large Cap Fund - Regular - Growth
118633,0.1575413109364893,-0.013127750311497174,0.00014494370918451818,0.6835202926574749,Nippon India Large Cap Fund - Direct - Growth
118634,0.16611904304761343,0.07106164558625787,0.0013059947128797147,0.22093285010846897,Nippon India Small Cap Fund - Regular - Growth
118635,0.14638386739578116,0.02905192156499542,0.0008250702373772797,0.33065430830108633,Nippon India ETF Nifty 50 BeES
118636,0.05232070249166158,-0.009031288476249727,0.0008461111639179381,0.32456119662396576,Nippon India Gilt Securities Fund - Regular - Growth
119092,0.06768262457925889,0.00948899079903063,7.623464760720601e-05,0.7675006901826867,Axis Bluechip Fund - Regular - Growth
119093,0.07630542153058224,0.04013795339910234,0.0013576671516698931,0.21201356606137287,Axis Bluechip Fund - Direct - Growth
119094,0.2490002330555456,0.057259055388636015,0.001434393238754104,0.199543465239852,Axis Midcap Fund - Regular - Growth
119095,0.05913431719208828,-0.07757047545196627,0.0015779915322806537,0.17843669107223226,Axis Small Cap Fund - Regular - Growth
119120,0.05852881516883649,-0.014816832187165245,0.0022986592980697514,0.10430546246679952,SBI Magnum Gilt Fund - Regular Plan - Growth
119551,0.2181021389918188,0.07611494159425891,0.0050556576063331875,0.015926102114277783,SBI Bluechip Fund - Regular Plan - Growth
119552,0.1954464536824604,0.014331086848000649,0.0001741702803849464,0.6549601669308015,SBI Bluechip Fund - Direct Plan - Growth
119598,0.29560500964999015,0.04150355435380988,0.00044907820980433634,0.4729893005553567,SBI Small Cap Fund - Regular Plan - Growth
119599,0.05459725528163481,-0.022752577300430968,0.00013703063794382245,0.6918253667253746,SBI Small Cap Fund - Direct Plan - Growth
120503,0.18052601213442054,-0.0278534626011096,0.0006631377357635811,0.38315967648009297,ICICI Pru Bluechip Fund - Regular - Growth
120504,0.22114490144552992,-0.05119375957802588,0.0020931408990625517,0.12115688539786382,ICICI Pru Bluechip Fund - Direct - Growth
120505,0.2916273388955722,0.0060356591097566765,1.6130362985779292e-05,0.8918282214126269,ICICI Pru Midcap Fund - Regular - Growth
120506,0.16846334460381845,-0.027287131881533908,0.000528918140060389,0.43608403354293823,ICICI Pru Value Discovery Fund - Regular - Growth
120507,0.06773561943908171,-0.0016904019239991172,0.0019301081235072698,0.1366743871269152,ICICI Pru Liquid Fund - Regular - Growth
120841,0.13267496816937002,-0.0066345058778157495,4.001142990196891e-05,0.8304049549341889,Kotak Bluechip Fund - Regular - Growth
120842,0.07309809685660276,0.032385213647532766,0.000539691898771298,0.43144746682455504,Kotak Emerging Equity Fund - Regular - Growth
120843,0.27505408775383067,-0.014432151382062145,0.00013598187817448376,0.6929467533912281,Kotak Flexicap Fund - Regular - Growth
120844,0.0644821011941366,0.0003669700158285476,8.421544004116309e-05,0.7560010632489274,Kotak Liquid Fund - Regular - Growth
125497,0.18200223247842526,-0.018851209908444872,0.00027213679757063163,0.5764265691103856,HDFC Top 100 Fund - Direct Plan - Growth
125498,0.10910843510236296,0.06510852548774536,0.0020739128461380327,0.12288098709499222,HDFC Mid-Cap Opportunities Fund - Direct - Growth
148567,0.2642212938237641,0.037347591572797725,0.0011408682216073915,0.2526206836661683,Mirae Asset Large Cap Fund - Regular - Growth
148568,0.21663095690565418,-0.051285221357879635,0.0018205504401078388,0.14834725820613653,Mirae Asset Emerging Bluechip Fund - Regular - Growth
148569,0.2777677198514168,0.032338336769160154,0.0005516546294087109,0.42638617406561496,Mirae Asset Tax Saver Fund - Regular - Growth
149322,0.12410049611561998,0.04418669125808318,0.0015615198237725946,0.18072136374416284,DSP Top 100 Equity Fund - Regular - Growth
149323,0.2693235356269562,-0.02010375659357349,0.00021146944086604784,0.6224239552526989,DSP Midcap Fund - Regular - Growth
149324,0.3001494401429583,0.004601795350759249,5.655176824356203e-06,0.9358226591183889,DSP Small Cap Fund - Regular - Growth
