amfi_code,CAGR_3Y,Sharpe,Alpha,ExpenseRatio,MaxDD,score,scheme_name
120505,0.2964993404956926,1.1801011976606506,0.2916273388955722,1.36,-0.18188513572116294,84.1025641025641,ICICI Pru Midcap Fund - Regular - Growth
100033,0.3375958695571646,1.0936987435346313,0.2806888003926054,1.38,-0.16217208574644848,82.56410256410257,HDFC Mid-Cap Opportunities Fund - Regular - Growth
119094,0.36236320218826146,0.998230986863641,0.2490002330555456,1.38,-0.20960883862039192,80.25641025641025,Axis Midcap Fund - Regular - Growth
119598,0.2807585983623553,0.9453082575156093,0.29560500964999015,1.43,-0.2870600572176455,77.82051282051282,SBI Small Cap Fund - Regular Plan - Growth
148567,0.31495335576695416,1.44829117032626,0.2642212938237641,1.46,-0.11265729075028275,77.43589743589745,Mirae Asset Large Cap Fund - Regular - Growth
120843,0.2541357504574635,1.3067439695428393,0.27505408775383067,1.45,-0.1297396816518679,74.87179487179488,Kotak Flexicap Fund - Regular - Growth
149324,0.25315693392596184,0.9497958246616044,0.3001494401429583,1.52,-0.31171900300634214,74.03846153846155,DSP Small Cap Fund - Regular - Growth
120504,0.27886717505894776,1.0265242847993,0.22114490144552992,0.8,-0.12588275606922517,72.82051282051282,ICICI Pru Bluechip Fund - Direct - Growth
119551,0.28193107333721334,1.2082665673727182,0.2181021389918188,1.54,-0.1501238549864533,71.85897435897436,SBI Bluechip Fund - Regular Plan - Growth
148569,0.23388973345158037,1.2349300257743292,0.2777677198514168,1.6,-0.1639674294693263,69.29487179487181,Mirae Asset Tax Saver Fund - Regular - Growth
149323,0.23888131507039434,1.1321218524747236,0.2693235356269562,1.61,-0.17248105753451382,66.7948717948718,DSP Midcap Fund - Regular - Growth
101206,0.3272566097608747,1.0272133278753697,0.21434392793210896,1.6,-0.11291596329323073,65.44871794871796,ABSL Frontline Equity Fund - Regular - Growth
118632,0.181852590182084,1.081659179345704,0.21809037137958925,1.51,-0.17414075086657232,64.93589743589745,Nippon India Large Cap Fund - Regular - Growth
118633,0.18485694594317437,0.6452074382933215,0.1575413109364893,0.72,-0.18629743138595511,61.474358974358964,Nippon India Large Cap Fund - Direct - Growth
119552,0.15199091421256816,0.9532794968660103,0.1954464536824604,0.66,-0.11803493502764295,61.02564102564102,SBI Bluechip Fund - Direct Plan - Growth
125497,0.1776826716893969,0.7757902498211207,0.18200223247842526,0.92,-0.15200013055606398,58.33333333333333,HDFC Top 100 Fund - Direct Plan - Growth
120506,0.18098572298772764,0.6488787755249532,0.16846334460381845,1.41,-0.1982565826298267,56.666666666666664,ICICI Pru Value Discovery Fund - Regular - Growth
